;maxET;slope.maxET-6;slope.07-maxET;slope.00-07;slope.19-23:45;curvmaxET;total.auc;auc.10-15;sd.10-15;auc.prop.10-15;auc.07-19;sd.07-19;auc.prop.07-19;auc.night;cos.sim.index
23/09/2023;0;0.006;0.001;0;0;0;0;0;0;0.018;0;0.001;0.025;0.001;0.001
24/09/2023;0;0;0;0;0.002;0;0.001;0.002;0;0;0;0;0;0;0
25/09/2023;0;0.001;0;0.002;0.001;0.015;0.002;0.002;0;0;0.002;0;0.042;0.001;0
26/09/2023;0;0.002;0.001;0.003;0;0;0.002;0.002;0.035;0;0.002;0.001;0;0.001;0.011
27/09/2023;0;0;0;0;0.002;0;0.001;0.002;0;0.064;0.001;0;0.065;0;0.008
28/09/2023;0;0;0;0;0;0;0;0.014;0;0.05;0;0;0.061;0;0
29/09/2023;0;0.001;0.001;0;0;0;0.003;0.003;0;0.024;0.001;0;0.023;0.003;0
30/09/2023;0;0.001;0;0;0.001;0.088;0.002;0.003;0;0;0.003;0;0;0.002;0.051
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
